"","e","entityYearsVector.i.","OneYear","ThreeYear","FiveYear"
"24219","A00056532",2011,FALSE,TRUE,TRUE
"24220","A00056690",2003,FALSE,FALSE,FALSE
"24221","A00056695",2017,FALSE,TRUE,TRUE
"24222","A00056697",2008,FALSE,FALSE,FALSE
"24223","A00056701",2012,FALSE,FALSE,FALSE
"24224","A00056708",2022,TRUE,TRUE,TRUE
"24225","A00138616",2022,TRUE,TRUE,TRUE
"24226","A00056715",2021,TRUE,TRUE,TRUE
"24227","A00195842",2021,TRUE,TRUE,TRUE
"24228","A00056720",2022,FALSE,FALSE,FALSE
"24229","A00242297",2022,FALSE,FALSE,FALSE
"24230","A00056726",2020,FALSE,FALSE,FALSE
"24231","A00056728",2016,TRUE,TRUE,TRUE
"24232","A00056731",2010,FALSE,FALSE,FALSE
"24233","A00056735",2021,TRUE,TRUE,TRUE
"24234","A00056738",2017,TRUE,TRUE,TRUE
"24235","A00056906",2021,FALSE,FALSE,FALSE
"24236","A00056220",2021,FALSE,FALSE,FALSE
"24237","A00086505",2023,TRUE,TRUE,TRUE
"24238","A00056912",2005,TRUE,TRUE,TRUE
"24239","A00056922",2018,FALSE,FALSE,FALSE
"24240","A00199065",2018,FALSE,FALSE,FALSE
"24241","A00056925",2023,FALSE,TRUE,TRUE
"24242","A00056929",2008,FALSE,TRUE,TRUE
"24243","A00056137",2008,FALSE,TRUE,TRUE
"24244","A00056931",2011,FALSE,FALSE,FALSE
"24245","A00056932",2007,FALSE,FALSE,FALSE
"24246","A00059632",2007,FALSE,FALSE,FALSE
"24247","A00056941",2015,TRUE,TRUE,TRUE
"24248","A00057106",2002,FALSE,FALSE,FALSE
"24249","A00057108",2012,TRUE,TRUE,TRUE
"24250","A00087487",2017,FALSE,FALSE,FALSE
"24251","A00057109",2021,FALSE,FALSE,FALSE
"24252","A00465931",2021,FALSE,FALSE,FALSE
"24253","A00085973",2021,TRUE,TRUE,TRUE
"24254","A00057116",2020,FALSE,FALSE,FALSE
"24255","A00057119",2005,TRUE,TRUE,TRUE
"24256","A00057123",2015,TRUE,TRUE,TRUE
"24257","A00057125",2019,TRUE,TRUE,TRUE
"24258","A00057132",2007,TRUE,TRUE,TRUE
"24259","A00170637",2007,TRUE,TRUE,TRUE
"24260","A00057134",2015,TRUE,TRUE,TRUE
"24261","A00199050",2004,TRUE,TRUE,TRUE
"24262","A00057137",2008,FALSE,TRUE,TRUE
"24263","A00087497",2019,FALSE,TRUE,TRUE
"24264","A00057138",2005,TRUE,TRUE,TRUE
"24265","A00057140",2018,FALSE,TRUE,TRUE
"24266","A00057145",2011,TRUE,TRUE,TRUE
"24267","A00057149",2023,TRUE,TRUE,TRUE
"24268","A00453556",2022,TRUE,TRUE,TRUE
"24269","A00057151",2023,TRUE,TRUE,TRUE
"24270","A00057153",2010,FALSE,FALSE,FALSE
"24271","A00057155",2020,TRUE,TRUE,TRUE
"24272","A00057310",2016,TRUE,TRUE,TRUE
"24273","A00101198",2016,TRUE,TRUE,TRUE
"24274","A00086779",2007,FALSE,FALSE,FALSE
"24275","A00057312",2005,TRUE,TRUE,TRUE
"24276","A00085057",2010,FALSE,FALSE,FALSE
"24277","A00057314",2017,FALSE,FALSE,FALSE
"24278","A00089576",2017,TRUE,TRUE,TRUE
"24279","A00452908",2017,TRUE,TRUE,TRUE
"24280","A00085949",2023,TRUE,TRUE,TRUE
"24281","A00509654",2023,TRUE,TRUE,TRUE
"24282","A00057330",2018,TRUE,TRUE,TRUE
"24283","A00057333",2023,FALSE,TRUE,TRUE
"24284","A00057336",2012,FALSE,FALSE,TRUE
"24285","A00196607",2012,FALSE,FALSE,TRUE
"24286","A00090514",2007,FALSE,TRUE,TRUE
"24287","A00057337",2020,TRUE,TRUE,TRUE
"24288","A00087805",2020,TRUE,TRUE,TRUE
"24289","A00057338",2006,TRUE,TRUE,TRUE
"24290","A00057339",2015,FALSE,FALSE,FALSE
"24291","A00057342",2019,TRUE,TRUE,TRUE
"24292","A00057345",2022,FALSE,FALSE,TRUE
"24293","A00057351",2003,FALSE,FALSE,FALSE
"24294","A00085261",2004,FALSE,FALSE,FALSE
"24295","A00057357",2019,TRUE,TRUE,TRUE
"24296","A00494604",2018,TRUE,TRUE,TRUE
"24297","A00088591",2009,FALSE,FALSE,FALSE
"24298","A00057358",2010,FALSE,FALSE,FALSE
"24299","A00377606",2010,FALSE,FALSE,FALSE
"24300","A00084944",2021,FALSE,TRUE,TRUE
"24301","A00057518",2022,FALSE,FALSE,FALSE
"24302","A00057519",2012,TRUE,TRUE,TRUE
"24303","A00269392",2012,TRUE,TRUE,TRUE
"24304","A00084110",2012,FALSE,FALSE,FALSE
"24305","A00057526",2004,FALSE,TRUE,TRUE
"24306","A00057527",2022,TRUE,TRUE,TRUE
"24307","A00081866",2007,TRUE,TRUE,TRUE
"24308","A00057533",2022,FALSE,TRUE,TRUE
"24309","A00057537",2017,FALSE,TRUE,TRUE
"24310","A00451880",2017,FALSE,TRUE,TRUE
"24311","A00201095",2023,TRUE,TRUE,TRUE
"24312","A00319362",2023,TRUE,TRUE,TRUE
"24313","A00057541",2004,TRUE,TRUE,TRUE
"24314","A00057542",2015,FALSE,FALSE,FALSE
"24315","A00057546",2008,FALSE,FALSE,FALSE
"24316","A00057551",2023,FALSE,TRUE,TRUE
"24317","A00057408",2023,FALSE,TRUE,TRUE
"24318","A00057564",2004,FALSE,FALSE,FALSE
"24319","A00057567",2007,TRUE,TRUE,TRUE
"24320","A00057718",2013,FALSE,FALSE,FALSE
"24321","A00057728",2022,FALSE,FALSE,FALSE
"24322","A00057740",2011,FALSE,FALSE,TRUE
"24323","A00057744",2019,TRUE,TRUE,TRUE
"24324","A00020793",2019,TRUE,TRUE,TRUE
"24325","A00057754",2021,FALSE,TRUE,TRUE
"24326","A00129202",2021,FALSE,TRUE,TRUE
"24327","A00057762",2008,FALSE,TRUE,TRUE
"24328","A00057763",2015,TRUE,TRUE,TRUE
"24329","A00197287",2015,TRUE,TRUE,TRUE
"24330","A00057931",2005,TRUE,TRUE,TRUE
"24331","A00057945",2004,FALSE,TRUE,TRUE
"24332","A00057948",2003,FALSE,FALSE,FALSE
"24333","A00057951",2004,FALSE,FALSE,FALSE
"24334","A00057964",2011,FALSE,FALSE,FALSE
"24335","A00388666",2011,FALSE,FALSE,FALSE
"24336","A00057965",2004,FALSE,FALSE,FALSE
"24337","A00057966",2023,TRUE,TRUE,TRUE
"24338","A00057967",2013,FALSE,FALSE,FALSE
"24339","A00057968",2010,FALSE,FALSE,FALSE
"24340","A00090522",2020,TRUE,TRUE,TRUE
"24341","A00057971",2004,FALSE,FALSE,FALSE
"24342","A00057972",2011,FALSE,FALSE,TRUE
"24343","A00058134",2013,FALSE,FALSE,FALSE
"24344","A00390887",2013,FALSE,FALSE,FALSE
"24345","A00088535",2022,FALSE,TRUE,TRUE
"24346","A00080319",2022,FALSE,TRUE,TRUE
"24347","A00058138",2008,TRUE,TRUE,TRUE
"24348","A00092697",2008,TRUE,TRUE,TRUE
"24349","A00058144",2014,FALSE,FALSE,FALSE
"24350","A00058145",2018,FALSE,FALSE,FALSE
"24351","A00087980",2019,TRUE,TRUE,TRUE
"24352","A00198869",2022,FALSE,FALSE,FALSE
"24353","A00204753",2020,FALSE,FALSE,FALSE
"24354","A00090523",2005,TRUE,TRUE,TRUE
"24355","A00058155",2022,TRUE,TRUE,TRUE
"24356","A00058163",2023,TRUE,TRUE,TRUE
"24357","A00437928",2023,TRUE,TRUE,TRUE
"24358","A00058167",2004,FALSE,FALSE,FALSE
"24359","A00058168",2006,TRUE,TRUE,TRUE
"24360","A00055519",2006,TRUE,TRUE,TRUE
"24361","A00202689",2014,FALSE,FALSE,FALSE
"24362","A00058171",2016,TRUE,TRUE,TRUE
"24363","A00058172",2022,TRUE,TRUE,TRUE
"24364","A00500871",2022,TRUE,TRUE,TRUE
"24365","A00058175",2004,FALSE,FALSE,FALSE
"24366","A00058177",2006,FALSE,TRUE,TRUE
"24367","A00079056",2006,FALSE,TRUE,TRUE
"24368","A00090525",2010,FALSE,FALSE,FALSE
"24369","A00053551",2010,FALSE,FALSE,FALSE
"24370","A00202690",2022,FALSE,FALSE,FALSE
"24371","A00076241",2022,FALSE,FALSE,FALSE
"24372","A00058344",2022,TRUE,TRUE,TRUE
"24373","A00058351",2023,TRUE,TRUE,TRUE
"24374","A00058353",2012,TRUE,TRUE,TRUE
"24375","A00058354",2009,TRUE,TRUE,TRUE
"24376","A00058357",2021,TRUE,TRUE,TRUE
"24377","A00058358",2017,TRUE,TRUE,TRUE
"24378","A00090528",2006,FALSE,FALSE,TRUE
"24379","A00058370",2022,TRUE,TRUE,TRUE
"24380","A00058372",2009,TRUE,TRUE,TRUE
"24381","A00084650",2008,FALSE,FALSE,FALSE
"24382","A00058376",2009,TRUE,TRUE,TRUE
"24383","A00058380",2022,TRUE,TRUE,TRUE
"24384","A00099040",2022,TRUE,TRUE,TRUE
"24385","A00058388",2014,FALSE,FALSE,FALSE
"24386","A00058547",2015,TRUE,TRUE,TRUE
"24387","A00303672",2015,TRUE,TRUE,TRUE
"24388","A00058549",2017,FALSE,FALSE,FALSE
"24389","A00058552",2022,FALSE,TRUE,TRUE
"24390","A00064725",2022,FALSE,TRUE,TRUE
"24391","A00058553",2011,FALSE,FALSE,FALSE
"24392","A00058555",2010,TRUE,TRUE,TRUE
"24393","A00058558",2010,FALSE,TRUE,TRUE
"24394","A00058559",2008,FALSE,FALSE,FALSE
"24395","A00058561",2023,TRUE,TRUE,TRUE
"24396","A00090530",2023,TRUE,TRUE,TRUE
"24397","A00508311",2023,TRUE,TRUE,TRUE
"24398","A00058564",2016,FALSE,FALSE,TRUE
"24399","A00419275",2016,FALSE,FALSE,TRUE
"24400","A00058565",2017,FALSE,FALSE,FALSE
"24401","A00058567",2003,FALSE,FALSE,FALSE
"24402","A00058569",2006,FALSE,TRUE,TRUE
"24403","A00058570",2019,TRUE,TRUE,TRUE
"24404","A00058571",2019,FALSE,TRUE,TRUE
"24405","A00070644",2019,FALSE,TRUE,TRUE
"24406","A00058573",2012,FALSE,FALSE,TRUE
"24407","A00058576",2003,TRUE,TRUE,TRUE
"24408","A00058584",2018,TRUE,TRUE,TRUE
"24409","A00088531",2018,FALSE,FALSE,FALSE
"24410","A00058589",2021,FALSE,TRUE,TRUE
"24411","A00058593",2022,TRUE,TRUE,TRUE
"24412","A00193576",2022,TRUE,TRUE,TRUE
"24413","A00058595",2013,FALSE,FALSE,FALSE
"24414","A00083961",2013,FALSE,FALSE,FALSE
"24415","A00058596",2020,FALSE,TRUE,TRUE
"24416","A00058599",2002,FALSE,FALSE,FALSE
"24417","A00055503",2009,TRUE,TRUE,TRUE
"24418","A00055510",2014,TRUE,TRUE,TRUE
"24419","A00055511",2019,TRUE,TRUE,TRUE
"24420","A00055515",2014,TRUE,TRUE,TRUE
"24421","A00055516",2021,FALSE,FALSE,FALSE
"24422","A00055518",2003,FALSE,FALSE,FALSE
"24423","A00090532",2014,FALSE,FALSE,FALSE
"24424","A00090533",2008,FALSE,FALSE,FALSE
"24425","A00090644",2008,FALSE,FALSE,FALSE
"24426","A00055521",2020,TRUE,TRUE,TRUE
"24427","A00055522",2011,FALSE,FALSE,FALSE
"24428","A00090534",2006,FALSE,FALSE,FALSE
"24429","A00055534",2007,FALSE,FALSE,FALSE
"24430","A00055536",2015,FALSE,FALSE,FALSE
"24431","A00243064",2015,FALSE,FALSE,FALSE
"24432","A00055537",2022,TRUE,TRUE,TRUE
"24433","A00055539",2014,FALSE,FALSE,FALSE
"24434","A00055544",2019,FALSE,TRUE,TRUE
"24435","A00102644",2019,FALSE,TRUE,TRUE
"24436","A00082424",2019,TRUE,TRUE,TRUE
"24437","A00421180",2019,TRUE,TRUE,TRUE
"24438","A00055547",2018,FALSE,FALSE,FALSE
"24439","A00059785",2018,FALSE,FALSE,FALSE
"24440","A00055550",2013,FALSE,TRUE,TRUE
"24441","A00086588",2002,FALSE,FALSE,FALSE
"24442","A00197584",2002,FALSE,FALSE,FALSE
"24443","A00090984",2013,TRUE,TRUE,TRUE
"24444","A00055713",2017,TRUE,TRUE,TRUE
"24445","A00055720",2018,TRUE,TRUE,TRUE
"24446","A00055726",2010,TRUE,TRUE,TRUE
"24447","A00330438",2010,TRUE,TRUE,TRUE
"24448","A00055727",2007,TRUE,TRUE,TRUE
"24449","A00012366",2007,TRUE,TRUE,TRUE
"24450","A00084482",2020,FALSE,TRUE,TRUE
"24451","A00055733",2018,FALSE,TRUE,TRUE
"24452","A00055738",2006,TRUE,TRUE,TRUE
"24453","A00055739",2018,FALSE,TRUE,TRUE
"24454","A00055740",2019,TRUE,TRUE,TRUE
"24455","A00090538",2021,FALSE,FALSE,FALSE
"24456","A00090539",2006,TRUE,TRUE,TRUE
"24457","A00055750",2015,TRUE,TRUE,TRUE
"24458","A00055752",2018,FALSE,TRUE,TRUE
"24459","A00090540",2023,TRUE,TRUE,TRUE
"24460","A00055921",2012,FALSE,FALSE,TRUE
"24461","A00055922",2007,TRUE,TRUE,TRUE
"24462","A00055926",2013,FALSE,TRUE,TRUE
"24463","A00055927",2019,TRUE,TRUE,TRUE
"24464","A00260388",2019,TRUE,TRUE,TRUE
"24465","A00055930",2018,FALSE,TRUE,TRUE
"24466","A00404735",2018,FALSE,TRUE,TRUE
"24467","A00257560",2014,FALSE,FALSE,FALSE
"24468","A00086761",2014,FALSE,TRUE,TRUE
"24469","A00055938",2014,FALSE,FALSE,TRUE
"24470","A00055944",2021,FALSE,FALSE,TRUE
"24471","A00055949",2009,TRUE,TRUE,TRUE
"24472","A00065239",2009,TRUE,TRUE,TRUE
"24473","A00090543",2020,FALSE,FALSE,TRUE
"24474","A00055950",2008,FALSE,FALSE,TRUE
"24475","A00055951",2012,TRUE,TRUE,TRUE
"24476","A00055955",2007,FALSE,FALSE,FALSE
"24477","A00055959",2020,TRUE,TRUE,TRUE
"24478","A00400753",2020,TRUE,TRUE,TRUE
"24479","A00055960",2023,TRUE,TRUE,TRUE
"24480","A00055961",2007,FALSE,FALSE,TRUE
"24481","A00055962",2021,FALSE,FALSE,FALSE
"24482","A00056118",2019,TRUE,TRUE,TRUE
"24483","A00421192",2019,TRUE,TRUE,TRUE
"24484","A00056130",2005,FALSE,FALSE,FALSE
"24485","A00134153",2005,FALSE,FALSE,FALSE
"24486","A00056136",2023,FALSE,FALSE,FALSE
"24487","A00056140",2009,TRUE,TRUE,TRUE
"24488","A00056141",2006,FALSE,FALSE,FALSE
"24489","A00056143",2011,TRUE,TRUE,TRUE
"24490","A00056148",2022,TRUE,TRUE,TRUE
"24491","A00065597",2022,TRUE,TRUE,TRUE
"24492","A00056153",2016,FALSE,FALSE,FALSE
"24493","A00056154",2011,FALSE,FALSE,FALSE
"24494","A00056157",2010,FALSE,FALSE,FALSE
"24495","A00056159",2020,FALSE,TRUE,TRUE
"24496","A00308032",2020,FALSE,TRUE,TRUE
"24497","A00056165",2003,TRUE,TRUE,TRUE
"24498","A00056167",2008,FALSE,TRUE,TRUE
"24499","A00277608",2008,FALSE,TRUE,TRUE
"24500","A00086769",2022,FALSE,TRUE,TRUE
"24501","A00056169",2008,FALSE,FALSE,FALSE
"24502","A00056326",2009,TRUE,TRUE,TRUE
"24503","A00056327",2012,FALSE,TRUE,TRUE
"24504","A00056334",2013,TRUE,TRUE,TRUE
"24505","A00438211",2013,TRUE,TRUE,TRUE
"24506","A00056342",2014,FALSE,TRUE,TRUE
"24507","A00056343",2023,TRUE,TRUE,TRUE
"24508","A00056344",2012,FALSE,TRUE,TRUE
"24509","A00056345",2004,TRUE,TRUE,TRUE
"24510","A00056347",2020,TRUE,TRUE,TRUE
"24511","A00509351",2020,TRUE,TRUE,TRUE
"24512","A00056350",2009,TRUE,TRUE,TRUE
"24513","A00415127",2009,TRUE,TRUE,TRUE
"24514","A00056351",2007,TRUE,TRUE,TRUE
"24515","A00085567",2005,TRUE,TRUE,TRUE
"24516","A00056358",2023,TRUE,TRUE,TRUE
"24517","A00026426",2023,TRUE,TRUE,TRUE
"24518","A00056359",2019,TRUE,TRUE,TRUE
"24519","A00056360",2022,FALSE,FALSE,FALSE
"24520","A00374112",2022,FALSE,FALSE,FALSE
"24521","A00056364",2013,TRUE,TRUE,TRUE
"24522","A00056365",2022,FALSE,FALSE,FALSE
"24523","A00088378",2021,TRUE,TRUE,TRUE
"24524","A00056368",2008,FALSE,FALSE,FALSE
"24525","A00056372",2016,FALSE,FALSE,FALSE
"24526","A00400902",2016,FALSE,FALSE,FALSE
"24527","A00056376",2022,TRUE,TRUE,TRUE
"24528","A00056535",2011,FALSE,TRUE,TRUE
"24529","A00248551",2011,FALSE,FALSE,FALSE
"24530","A00056538",2022,FALSE,FALSE,TRUE
"24531","A00056540",2003,FALSE,FALSE,FALSE
"24532","A00056541",2018,TRUE,TRUE,TRUE
"24533","A00056544",2007,FALSE,FALSE,FALSE
"24534","A00195191",2012,FALSE,FALSE,TRUE
"24535","A00238356",2012,FALSE,FALSE,TRUE
"24536","A00056554",2018,FALSE,FALSE,FALSE
"24537","A00056559",2005,FALSE,FALSE,FALSE
"24538","A00082426",2021,TRUE,TRUE,TRUE
"24539","A00508286",2021,TRUE,TRUE,TRUE
"24540","A00056562",2004,FALSE,FALSE,FALSE
"24541","A00056569",2011,FALSE,FALSE,FALSE
"24542","A00012176",2011,FALSE,FALSE,FALSE
"24543","A00056571",2018,TRUE,TRUE,TRUE
"24544","A00056573",2008,TRUE,TRUE,TRUE
"24545","A00088958",2008,TRUE,TRUE,TRUE
"24546","A00056575",2023,FALSE,FALSE,FALSE
"24547","A00084371",2023,FALSE,FALSE,FALSE
"24548","A00056577",2013,FALSE,TRUE,TRUE
"24549","A00056579",2012,TRUE,TRUE,TRUE
"24550","A00056582",2023,TRUE,TRUE,TRUE
"24551","A00056743",2023,FALSE,FALSE,FALSE
"24552","A00088309",2023,FALSE,FALSE,FALSE
"24553","A00202691",2016,TRUE,TRUE,TRUE
"24554","A00056752",2022,FALSE,TRUE,TRUE
"24555","A00056755",2006,TRUE,TRUE,TRUE
"24556","A00056759",2019,FALSE,FALSE,FALSE
"24557","A00059479",2019,FALSE,FALSE,FALSE
"24558","A00056760",2007,FALSE,FALSE,FALSE
"24559","A00056761",2014,FALSE,FALSE,FALSE
"24560","A00056764",2011,FALSE,FALSE,FALSE
"24561","A00056767",2019,TRUE,TRUE,TRUE
"24562","A00056769",2003,FALSE,FALSE,FALSE
"24563","A00056770",2012,FALSE,FALSE,FALSE
"24564","A00081019",2012,FALSE,FALSE,FALSE
"24565","A00056772",2016,FALSE,TRUE,TRUE
"24566","A00090554",2018,FALSE,FALSE,TRUE
"24567","A00088401",2014,FALSE,TRUE,TRUE
"24568","A00062683",2014,FALSE,TRUE,TRUE
"24569","A00056778",2003,FALSE,FALSE,FALSE
"24570","A00056779",2022,TRUE,TRUE,TRUE
"24571","A00206163",2020,FALSE,TRUE,TRUE
"24572","A00511807",2016,FALSE,FALSE,FALSE
"24573","A00211556",2009,FALSE,FALSE,FALSE
"24574","A00056782",2016,FALSE,FALSE,FALSE
"24575","A00211823",2021,FALSE,TRUE,TRUE
"24576","A00056785",2017,TRUE,TRUE,TRUE
"24577","A00066369",2017,TRUE,TRUE,TRUE
"24578","A00056786",2018,FALSE,FALSE,FALSE
"24579","A00056791",2009,FALSE,FALSE,FALSE
"24580","A00040504",2009,FALSE,FALSE,FALSE
"24581","A00056792",2015,TRUE,TRUE,TRUE
"24582","A00268066",2015,TRUE,TRUE,TRUE
"24583","A00056946",2006,TRUE,TRUE,TRUE
"24584","A00204755",2022,FALSE,TRUE,TRUE
"24585","A00056948",2008,FALSE,FALSE,FALSE
"24586","A00209187",2019,TRUE,TRUE,TRUE
"24587","A00056956",2004,FALSE,FALSE,FALSE
"24588","A00056959",2008,TRUE,TRUE,TRUE
"24589","A00056960",2007,FALSE,FALSE,FALSE
"24590","A00056962",2009,TRUE,TRUE,TRUE
"24591","A00056963",2023,FALSE,FALSE,TRUE
"24592","A00059424",2023,FALSE,FALSE,TRUE
"24593","A00056964",2014,TRUE,TRUE,TRUE
"24594","A00330657",2014,TRUE,TRUE,TRUE
"24595","A00056966",2015,FALSE,FALSE,TRUE
"24596","A00056968",2020,FALSE,FALSE,FALSE
"24597","A00206917",2009,FALSE,TRUE,TRUE
"24598","A00056971",2018,FALSE,FALSE,FALSE
"24599","A00090558",2022,TRUE,TRUE,TRUE
"24600","A00056980",2014,FALSE,FALSE,FALSE
"24601","A00056984",2022,TRUE,TRUE,TRUE
"24602","A00056985",2014,TRUE,TRUE,TRUE
"24603","A00056988",2020,FALSE,TRUE,TRUE
"24604","A00390736",2020,FALSE,TRUE,TRUE
"24605","A00056989",2022,TRUE,TRUE,TRUE
"24606","A00056991",2023,TRUE,TRUE,TRUE
"24607","A00056993",2008,FALSE,FALSE,TRUE
"24608","A00057161",2002,FALSE,FALSE,FALSE
"24609","A00057163",2022,TRUE,TRUE,TRUE
"24610","A00444480",2022,TRUE,TRUE,TRUE
"24611","A00057165",2011,FALSE,TRUE,TRUE
"24612","A00057169",2022,FALSE,FALSE,TRUE
"24613","A00090716",2017,TRUE,TRUE,TRUE
"24614","A00057171",2006,FALSE,FALSE,FALSE
"24615","A00206168",2010,FALSE,FALSE,FALSE
"24616","A00090781",2016,TRUE,TRUE,TRUE
"24617","A00057174",2019,FALSE,FALSE,FALSE
"24618","A00057175",2018,FALSE,FALSE,FALSE
"24619","A00057176",2005,TRUE,TRUE,TRUE
"24620","A00206169",2022,FALSE,TRUE,TRUE
"24621","A00543310",2022,FALSE,TRUE,TRUE
"24622","A00057179",2013,FALSE,FALSE,TRUE
"24623","A00243061",2006,TRUE,TRUE,TRUE
"24624","A00057181",2020,FALSE,FALSE,TRUE
"24625","A00057182",2008,FALSE,TRUE,TRUE
"24626","A00057183",2019,FALSE,FALSE,FALSE
"24627","A00057184",2016,FALSE,FALSE,FALSE
"24628","A00057185",2006,TRUE,TRUE,TRUE
"24629","A00057186",2011,FALSE,FALSE,FALSE
"24630","A00057191",2023,TRUE,TRUE,TRUE
"24631","A00057192",2006,FALSE,FALSE,TRUE
"24632","A00541857",2006,FALSE,FALSE,TRUE
"24633","A00057195",2021,FALSE,FALSE,FALSE
"24634","A00211824",2018,FALSE,FALSE,TRUE
"24635","A00211559",2014,FALSE,TRUE,TRUE
"24636","A00208134",2014,FALSE,TRUE,TRUE
"24637","A00057197",2017,FALSE,FALSE,FALSE
"24638","A00352999",2017,FALSE,FALSE,FALSE
"24639","A00057199",2019,TRUE,TRUE,TRUE
"24640","A00057200",2003,FALSE,FALSE,FALSE
"24641","A00454231",2003,FALSE,FALSE,FALSE
"24642","A00211825",2006,TRUE,TRUE,TRUE
"24643","A00057203",2018,TRUE,TRUE,TRUE
"24644","A00057204",2006,FALSE,FALSE,FALSE
"24645","A00219358",2014,TRUE,TRUE,TRUE
"24646","A00057361",2014,FALSE,FALSE,FALSE
"24647","A00057362",2020,FALSE,FALSE,FALSE
"24648","A00057363",2023,TRUE,TRUE,TRUE
"24649","A00086945",2023,TRUE,TRUE,TRUE
"24650","A00057366",2022,TRUE,TRUE,TRUE
"24651","A00199770",2021,FALSE,FALSE,TRUE
"24652","A00231527",2021,FALSE,FALSE,TRUE
"24653","A00057369",2008,FALSE,FALSE,FALSE
"24654","A00057370",2023,TRUE,TRUE,TRUE
"24655","A00211562",2011,TRUE,TRUE,TRUE
"24656","A00229322",2011,TRUE,TRUE,TRUE
"24657","A00201112",2016,FALSE,FALSE,FALSE
"24658","A00206173",2016,TRUE,TRUE,TRUE
"24659","A00057376",2009,FALSE,FALSE,TRUE
"24660","A00226599",2005,FALSE,FALSE,FALSE
"24661","A00057378",2022,TRUE,TRUE,TRUE
"24662","A00085200",2011,TRUE,TRUE,TRUE
"24663","A00058925",2011,TRUE,TRUE,TRUE
"24664","A00057386",2013,FALSE,TRUE,TRUE
"24665","A00057393",2019,FALSE,FALSE,FALSE
"24666","A00057394",2015,FALSE,FALSE,TRUE
"24667","A00275465",2015,FALSE,FALSE,TRUE
"24668","A00211339",2005,TRUE,TRUE,TRUE
"24669","A00219360",2021,TRUE,TRUE,TRUE
"24670","A00211564",2003,TRUE,TRUE,TRUE
"24671","A00057404",2022,FALSE,TRUE,TRUE
"24672","A00512084",2022,FALSE,TRUE,TRUE
"24673","A00057409",2023,TRUE,TRUE,TRUE
"24674","A00505207",2023,TRUE,TRUE,TRUE
"24675","A00211830",2005,TRUE,TRUE,TRUE
"24676","A00057410",2003,FALSE,FALSE,FALSE
"24677","A00501062",2003,FALSE,FALSE,FALSE
"24678","A00225191",2022,FALSE,FALSE,FALSE
"24679","A00057575",2008,TRUE,TRUE,TRUE
"24680","A00057578",2014,FALSE,TRUE,TRUE
"24681","A00057580",2006,TRUE,TRUE,TRUE
"24682","A00231495",2023,TRUE,TRUE,TRUE
"24683","A00385632",2023,TRUE,TRUE,TRUE
"24684","A00057586",2022,TRUE,TRUE,TRUE
"24685","A00075184",2022,TRUE,TRUE,TRUE
"24686","A00057589",2005,FALSE,FALSE,FALSE
"24687","A00057590",2022,FALSE,TRUE,TRUE
"24688","A00454029",2022,FALSE,TRUE,TRUE
"24689","A00206176",2023,TRUE,TRUE,TRUE
"24690","A00240583",2023,TRUE,TRUE,TRUE
"24691","A00057594",2019,TRUE,TRUE,TRUE
"24692","A00057595",2004,TRUE,TRUE,TRUE
"24693","A00230173",2015,TRUE,TRUE,TRUE
"24694","A00057598",2020,FALSE,FALSE,FALSE
"24695","A00219363",2011,FALSE,TRUE,TRUE
"24696","A00057607",2013,FALSE,FALSE,FALSE
"24697","A00227435",2012,FALSE,TRUE,TRUE
"24698","A00057612",2003,FALSE,FALSE,FALSE
"24699","A00347265",2017,FALSE,FALSE,FALSE
"24700","A00057613",2010,TRUE,TRUE,TRUE
"24701","A00057614",2007,FALSE,TRUE,TRUE
"24702","A00080790",2007,FALSE,TRUE,TRUE
"24703","A00211832",2022,TRUE,TRUE,TRUE
"24704","A00230175",2011,FALSE,FALSE,FALSE
"24705","A00232909",2011,FALSE,FALSE,FALSE
"24706","A00057617",2007,FALSE,TRUE,TRUE
"24707","A00057770",2019,FALSE,TRUE,TRUE
"24708","A00225079",2022,FALSE,FALSE,FALSE
"24709","A00226782",2015,FALSE,FALSE,FALSE
"24710","A00211567",2013,FALSE,FALSE,TRUE
"24711","A00225196",2020,TRUE,TRUE,TRUE
"24712","A00057783",2021,TRUE,TRUE,TRUE
"24713","A00057791",2014,TRUE,TRUE,TRUE
"24714","A00057798",2018,FALSE,FALSE,FALSE
"24715","A00057799",2022,TRUE,TRUE,TRUE
"24716","A00057800",2021,FALSE,FALSE,FALSE
"24717","A00057804",2013,TRUE,TRUE,TRUE
"24718","A00195159",2013,TRUE,TRUE,TRUE
"24719","A00057806",2008,FALSE,TRUE,TRUE
"24720","A00067445",2008,FALSE,TRUE,TRUE
"24721","A00057809",2005,FALSE,FALSE,FALSE
"24722","A00057815",2023,TRUE,TRUE,TRUE
"24723","A00057820",2022,FALSE,TRUE,TRUE
"24724","A00023778",2022,FALSE,TRUE,TRUE
"24725","A00057979",2022,FALSE,FALSE,FALSE
"24726","A00219366",2012,TRUE,TRUE,TRUE
"24727","A00057982",2009,FALSE,FALSE,FALSE
"24728","A00057984",2005,TRUE,TRUE,TRUE
"24729","A00488569",2005,TRUE,TRUE,TRUE
"24730","A00211568",2015,TRUE,TRUE,TRUE
"24731","A00217185",2015,TRUE,TRUE,TRUE
"24732","A00057988",2023,TRUE,TRUE,TRUE
"24733","A00074047",2023,TRUE,TRUE,TRUE
"24734","A00206178",2021,FALSE,TRUE,TRUE
"24735","A00206750",2021,FALSE,TRUE,TRUE
